filenmelanomame,result
0_m_or_nm.jpg,melanoma
1_m_or_nm.jpg,melanoma
2_m_or_nm.jpg,melanoma
3_m_or_nm.jpg,melanoma
4_m_or_nm.jpg,melanoma
5_m_or_nm.jpg,melanoma
6_nm_or_m.jpg,melanoma
7_m_or_nm.jpg,melanoma
8_m_or_nm.jpg,melanoma
9_m_or_nm.jpg,melanoma
10_m_or_nm.jpg,melanoma
11_m_or_nm.jpg,not melanoma
12_m_or_nm.jpg,melanoma
13_m_or_nm.jpg,melanoma
14_m_or_nm.jpg,melanoma
15_m_or_nm.jpg,melanoma
16_m_or_nm.jpg,melanoma
17_m_or_nm.jpg,melanoma
18_m_or_nm.jpg,melanoma
19_m_or_nm.jpg,melanoma
20_m_or_nm.jpg,melanoma
21_m_or_nm.jpg,melanoma
22_m_or_nm.jpg,melanoma
23_m_or_nm (83).jpg,melanoma
24_m_or_nm (122).jpg,melanoma
25_m_or_nm (109).jpg,melanoma
26_m_or_nm (106).jpg,melanoma
27_m_or_nm (53).jpg,melanoma
28_m_or_nm (75).jpg,melanoma
29_m_or_nm (6).jpg,melanoma
30_m_or_nm (71).jpg,melanoma
31_m_or_nm (41).jpg,melanoma
32_m_or_nm (116).jpg,melanoma
33_m_or_nm (21).jpg,melanoma
34_m_or_nm (43).jpg,melanoma
35_m_or_nm (17).jpg,melanoma
36_m_or_nm (2).jpg,melanoma
37_m_or_nm (86).jpg,melanoma
38_m_or_nm (89).jpg,melanoma
39_m_or_nm (113).jpg,
40_m_or_nm (52).jpg,melanoma
41_m_or_nm (107).jpg,melanoma
42_m_or_nm (8).jpg,melanoma
43_m_or_nm (22).jpg,melanoma
44_m_or_nm (81).jpg,melanoma
45_m_or_nm (41).jpg,melanoma
46_m_or_nm (111).jpg,melanoma
47_m_or_nm (94).jpg,melanoma
48_m_or_nm (38).jpg,melanoma
49_m_or_nm (22).jpg,melanoma
50_m_or_nm (72).jpg,melanoma
51_m_or_nm (77).jpg,melanoma
52_m_or_nm (123).jpg,melanoma
53_m_or_nm (60).jpg,melanoma
54_m_or_nm (65).jpg,melanoma
55_m_or_nm (78).jpg,not melanoma
56_m_or_nm (101).jpg,melanoma
57_m_or_nm (88).jpg,melanoma
58_m_or_nm (59).jpg,melanoma
59_m_or_nm (100).jpg,melanoma
60_m_or_nm (31).jpg,not melanoma
61_m_or_nm (73).jpg,
62_m_or_nm (61).jpg,melanoma
63_m_or_nm (29).jpg,melanoma
64_m_or_nm (85).jpg,melanoma
65_m_or_nm (47).jpg,melanoma
66_m_or_nm (97).jpg,melanoma
67_m_or_nm (96).jpg,not melanoma
68_m_or_nm (55).jpg,melanoma
69_m_or_nm (66).jpg,melanoma
70_m_or_nm (49).jpg,
71_m_or_nm (26).jpg,melanoma
72_m_or_nm (36).jpg,
73_m_or_nm (125).jpg,melanoma
74_m_or_nm (32).jpg,melanoma
75_m_or_nm (79).jpg,melanoma
76_m_or_nm (106).jpg,melanoma
77_m_or_nm (105).jpg,melanoma
78_m_or_nm (54).jpg,not melanoma
79_m_or_nm (15).jpg,melanoma
80_m_or_nm (9).jpg,melanoma
81_m_or_nm (34).jpg,melanoma
82_m_or_nm (81).jpg,not melanoma
83_m_or_nm (67).jpg,not melanoma
84_m_or_nm (30).jpg,melanoma
85_m_or_nm (120).jpg,melanoma
86_m_or_nm (28).jpg,melanoma
87_m_or_nm (15).jpg,melanoma
88_m_or_nm (119).jpg,melanoma
89_m_or_nm (99).jpg,melanoma
90_m_or_nm (24).jpg,melanoma
91_m_or_nm (69).jpg,melanoma
92_m_or_nm (53).jpg,melanoma
93_m_or_nm (74).jpg,not melanoma
94_m_or_nm (105).jpg,melanoma
95_m_or_nm (50).jpg,melanoma
96_m_or_nm (38).jpg,melanoma
97_m_or_nm (84).jpg,not melanoma
98_m_or_nm (104).jpg,melanoma
99_m_or_nm (17).jpg,melanoma
100_m_or_nm (98).jpg,melanoma
101_m_or_nm (42).jpg,melanoma
102_m_or_nm (23).jpg,melanoma
103_m_or_nm (11).jpg,melanoma
104_m_or_nm (19).jpg,melanoma
105_m_or_nm (56).jpg,melanoma
106_m_or_nm (8).jpg,melanoma
107_m_or_nm (13).jpg,melanoma
108_m_or_nm (1).jpg,melanoma
109_m_or_nm (43).jpg,melanoma
110_m_or_nm (26).jpg,melanoma
111_m_or_nm (107).jpg,melanoma
112_m_or_nm (58).jpg,
113_m_or_nm (13).jpg,melanoma
114_m_or_nm (118).jpg,melanoma
115_m_or_nm (44).jpg,melanoma
116_m_or_nm (30).jpg,melanoma
117_m_or_nm (56).jpg,melanoma
118_m_or_nm (6).jpg,melanoma
119_m_or_nm (5).jpg,melanoma
120_m_or_nm (74).jpg,not melanoma
121_m_or_nm (70).jpg,melanoma
122_m_or_nm (118).jpg,melanoma
123_m_or_nm (46).jpg,melanoma
124_m_or_nm (21).jpg,melanoma
125_m_or_nm (96).jpg,melanoma
126_m_or_nm (91).jpg,melanoma
127_m_or_nm (97).jpg,melanoma
128_m_or_nm (82).jpg,melanoma
129_m_or_nm (12).jpg,melanoma
130_m_or_nm (7).jpg,melanoma
131_m_or_nm (112).jpg,melanoma
132_m_or_nm (46).jpg,melanoma
133_m_or_nm (75).jpg,melanoma
134_m_or_nm (11).jpg,melanoma
135_m_or_nm (61).jpg,not melanoma
136_m_or_nm (84).jpg,melanoma
137_m_or_nm (37).jpg,melanoma
138_m_or_nm (117).jpg,melanoma
139_m_or_nm (25).jpg,melanoma
